date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:09	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2011%20Apr%202022%2022:38:38%20GMT	https://cmcmtech.com/robots.txt		(from )
10:27:10	70651/70651	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2008:31:36%20GMT	https://cmcmtech.com/	D:/office%20work/seseo/cmcmtech.com/index.html	(from )
10:27:11	761/761	---M--	200	added ('OK')	image/png	date:Tue,%2023%20May%202023%2012:32:49%20GMT	https://cmcmtech.com/images/favicon-icon.png	D:/office%20work/seseo/cmcmtech.com/images/favicon-icon.png	(from https://cmcmtech.com/)
10:27:12	5290/5290	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/royal_preloader.css	D:/office%20work/seseo/cmcmtech.com/css/royal_preloader.css	(from https://cmcmtech.com/)
10:27:13	86351/86351	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1514f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	D:/office%20work/seseo/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from https://cmcmtech.com/)
10:27:14	6868/6868	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2012:52:30%20GMT	https://cmcmtech.com/js/parallax.min.js	D:/office%20work/seseo/cmcmtech.com/js/parallax.min.js	(from https://cmcmtech.com/)
10:27:14	32485/32485	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266431654-7ee5%22	https://code.iconify.design/2/2.1.2/iconify.min.js	D:/office%20work/seseo/code.iconify.design/2/2.1.2/iconify.min.js	(from https://cmcmtech.com/)
10:27:15	84265/84265	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-14929%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.js	D:/office%20work/seseo/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.js	(from https://cmcmtech.com/)
10:27:16	8161/8161	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Oct%202017%2021:30:02%20GMT	https://cmcmtech.com/js/royal_preloader.min.js	D:/office%20work/seseo/cmcmtech.com/js/royal_preloader.min.js	(from https://cmcmtech.com/)
10:27:16	121200/121200	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2012:40:22%20GMT	https://cmcmtech.com/css/bootstrap.min.css	D:/office%20work/seseo/cmcmtech.com/css/bootstrap.min.css	(from https://cmcmtech.com/)
